content,sentiment
"This is the highest form of intimidation
What offence did they commit???
Give us answers!!!!

@UBACares @UBAFoundation @UBACares @TonyOElumelu @npf @davido @ViralTweets2020 @ENDSARS @HumansNigeria https://t.co/xxdTK0BmQB",neutral
"Why is it taking a life long time for @MBuhari to sack  @DrIsaPantami who we have a strong proof that his activities is related to terrorism @cenbank @endsars protesters account were frozen with the excuse that it's related to terrorism, why is @DrIsaPantami account still active?",positive
"Even Desmond Elliot is quite , ,,, what is that woman's name again that look like jellof rice way red oil too much ,I men that woman that said they should stop social media during @endsars protest she is so quiet abi , https://t.co/RsVQ4N8LwM",positive
"When will CBN freeze the account of @DrIsaPantami  ? CBN was quick to freeze d account of @endsars pple including @SavvyRinu  etc. On the ground that some were using cryptocurrency to finance terrorism, now the financier and advocate of it is here. What is the CBN waiting for? https://t.co/r3vxrbkLdn",positive
"@Obiejazzyup @YeleSowore @MBuhari @EndSars @mbujari okay that is good one but the ESN should be well coordinated and work with SE states govt. so as to avoid self inflicting injuries. Islamizing Nigeria? It's not possible, please forget about that baseless assumption by some gullible.",positive
We should allow policemen who are victims of injustice from public to appear @EndSars tribunal to get justice and be compensated too  d tribunals are one sided affair. https://t.co/EfyFw1wYTY,negative
"@MoyinoluwaVict4 @YeleSowore @MBuhari @EndSars @mbujari Mr Spokesman, okaree, this really shows your level of reasoning and cultured",positive
"@zeal_a @EuginhoCortez @YarKafanchan They have been attacking ordinary citizens for a long time, backed by the government, the attacked @endsars protesters... It's the government that gave touts legitimacy.",negative
"@YeleSowore @MBuhari @EndSars @mbujari Huuum, big nonsense, countineuty of insecurity, joblessness, farmine, corruption, embezzlement, bandits kidnapping, etc. Ho LORD have mercy on us.",neutral
"May it be known, may it be remembered that from 2015-2021 and still running, ""the major focus of the Nigerian government was on COWS"" AND NOT HER CITIZENS. @EndSars @Endbadgovernance @restructurenigeria",negative
"@YeleSowore @MBuhari @EndSars @mbujari In this same Nigeria some terrorists are rehabilitated and granted amnesty,in this same Nigeria,govt negotiate with bandits. Drama",neutral
"@YeleSowore @MBuhari @EndSars @mbujari Buhari should learn from what happened to late Chadian president who refuse to relinquish power and was killed by rebels.
Clueless Buhari should  resign now and let people with common sense and great ideas rule the country",neutral
"@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari And he Pampers the herdsmen, or are they not a terrorist group too?",neutral
@Prince74143920 @YeleSowore @MBuhari @EndSars @mbujari just like your father.,neutral
@YeleSowore @MBuhari @EndSars @mbujari And you looking for power and money,neutral
"@YeleSowore @MBuhari @EndSars @mbujari Confirm terrorist, we should expect continuity of killing and hardship.",neutral
@Nlechoppa1 Stay up forever real Geezer @Nlechoppa1 @Endsars #EndSARS #EndPoliceBrutalityinNigeria,positive
@YeleSowore @MBuhari @EndSars @mbujari We're amugbo,neutral
"@YeleSowore @MBuhari @EndSars @mbujari Continuity of terrorism, lack and massive display of ineffective governance.",neutral
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Again: BIG FOOL,neutral
"@MoyinoluwaVict4 @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari What's ma? 
Is he your mother?  😂",neutral
"@juxcnote @bunmifasae @mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You are pained by the 2019 election, breathe if you agree 😂",neutral
@mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You are pained by the 2019 election breath if you agree 😂,neutral
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari What about brothers?,neutral
@YeleSowore @MBuhari @EndSars @mbujari What can we do?,neutral
@YeleSowore @MBuhari @EndSars @mbujari Nigeria won't be handed over to you with this type of rascality. You may need to try other means!,negative
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari That's why you are a fool!,neutral
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You will later pity that man bcus it's in Bible don't destroy your brother but he did not listen he has chosen his own way of destroying others with lies and fake write ups,negative
"@YeleSowore @MBuhari @EndSars @mbujari @SoworeOmoyele I don't know how you will be able to face the judgement of God that will soon come upon you. So you knew Buhari is a terrorist, and you used your Platform to deceive Nigerians to vote for him? Buhari's terrorist activities will soon catch up with you. Nonsense.",positive
@YeleSowore @MBuhari @EndSars @mbujari I now know you will soon choke on your hatered of Buhari. You have totally lost your senses. You're like a hungry lion between a herd of buffaloes fighting for his life. We all know what the outcome will be. The End!,neutral
"@horlayemmy @YeleSowore @MBuhari @EndSars @mbujari thank you crude olodo, buruku! God have mercy on you.",negative
@Abubakar_myusuf @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari No one will insult you if you are not displaying any symptom of stupidity or ignorance on a social media platform...”for every action there is always an equal and opposite reaction”,negative
@Prince74143920 @YeleSowore @MBuhari @EndSars @mbujari and this filthy pig? what exactly are you blabing?,negative
"@NPMsmoothie @YeleSowore @MBuhari @EndSars @mbujari who are you to judge people either bad or good, I hope you were good.",positive
"@MoyinoluwaVict4 @YeleSowore @MBuhari @EndSars @mbujari that is if you are the one presiding over people's souls, ...taught.",neutral
"@WaleJimoh10 @YeleSowore @MBuhari @EndSars @mbujari you look like a gentleman now, alias, agbero!!! sorry",negative
@adekzee1 @YeleSowore @MBuhari @EndSars @mbujari #ESN and #IPOB are not terrorists.they are protecting the south east from the terrorist created by @MBuhari to wipe other region out and islamize the country,neutral
"@YeleSowore @bamanalist @MBuhari @EndSars @mbujari But you are still supporting One failed useless Nigeria, #SayNoTo1Nigeria #EndNigeriaNow #DivideNigeria #BiafraExit #Stop",negative
"@YeleSowore @ayemojubar @MBuhari @EndSars @mbujari To those southern one Nigerianists have u ever sat down and think about the people u doing one Nigeria wit.the Northern Nomadic Fulani People that only contribute terrorism, economy disaster,massive looting,nomadic and backwardness to the one Nigeria
@YeleSowore 
@MaziNnamdiKanu https://t.co/lxhqaOQFzH",neutral
@YeleSowore @ayemojubar @MBuhari @EndSars @mbujari We must never exclude @GovWike from that crime against humanity in Obigbo. Shameful Wike the #littlehitler is a murderer.,neutral
@YeleSowore @MBuhari @EndSars @mbujari Northerners are the problem of this country.,neutral
"@JessicaOgwatar @MBuhari @EndSars @mbujari Ever since he took over, terrorism spreads like wildfire in Nigeria",neutral
@JessicaOgwatar @MBuhari @EndSars @mbujari Boko Haram Patron,neutral
@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Which you are number one among them,neutral
@ayfbeloved @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Am also waiting for his response on this ☝️,neutral
@Obiejazzyup @YeleSowore @MBuhari @EndSars @mbujari Is Buhari the sponsor of ESN and IPOB terrorizing the SE region too?,neutral
Buhari is a terrorist: @mbuhari ordered the massacre of  1k Shiites in one night; he ordered the massacre of  #IPOB members at a peaceful gathering in a secondary schl; he  ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate @mbujari ordered killings at Obigbo,positive
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Very soon you will also be flushed out. Aboki janjaweed,neutral
"@couture_fh @YeleSowore @MBuhari @EndSars @mbujari I believe we need to focus on ""End badgovernance"" by ensuring only the right persons are elected onwards. When this is successfully done, a referendum for Biafra and Odua exit would be possible without bloodshed.",positive
"@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Hope you know your government is giving them amnesty and robbing hands with them? This government needs to be flush out ryt? Pls say something about pantami, bandits and Fulani herdsmen",neutral
"@YeleSowore @MBuhari @EndSars @mbujari Please note how the reported has been ""encouraged"" to say ""well deserved rest"". In reality, Buhari was ousted by diaspora Nigerians.",neutral
@monami911 @TonyMatt14 @YeleSowore @EndSars OMG! You just said it all!,neutral
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You have made your dim tweet. Now go and collect your N500,positive
@YeleSowore @MBuhari @EndSars @mbujari Continuity to your hardship Regime abi.  God is watching you,neutral
@adurojadgreat @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Don't blame him he is a cow,negative
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Boko haram is not a terrorist aboki mumu boi,neutral
"@YeleSowore @MBuhari @EndSars @mbujari Man all your claims are baseless 🤨. We all know Shiites are naturally terrorists, IPOB have evil intents to destroy the country while no one died at the Lekki toll gate...hide your face man you a thief !",negative
"@YeleSowore @MBuhari @EndSars @mbujari Avram Sowore grant, wehdon sa",neutral
@lee_zamba @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari One thing in common about you southerners is insult....,negative
@YeleSowore @MBuhari @EndSars @mbujari It's time we rise up in unity and strong protest to say no to this barbaric governance.,positive
@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Fulani Herdsmen?,neutral
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari FOOLS.... Dementia is ur problem,neutral
@MoyinoluwaVict4 @TtifeB @YeleSowore @MBuhari @EndSars @mbujari Please you people should pay that lady her grant,neutral
@MoyinoluwaVict4 @TtifeB @YeleSowore @MBuhari @EndSars @mbujari I know you chop something among the grand,positive
@TtifeB @YeleSowore @MBuhari @EndSars @mbujari Sowore is not Buhari mate when it comes humanity and tolerance ...but it's just a pity that you're hiding your picture on this app bcus you're a coward ...if e sure for you upload your picture make we see who dey call sowore sowogrant ...I know they're paying you for doing this,positive
@EweteOluwasegun @YeleSowore @MBuhari @EndSars @mbujari Bring forth your proofs and evidence ....na so you said sowore was working for APC back then now it's Grant ...and still yet your family name no popular reach sowore name in this world,positive
"@EmekaEdeh @YeleSowore @MBuhari @EndSars @mbujari What's your warnings? And while Jonathan was in office was Nigeria getting better among it pals?
PDP is bad
APC is worst 
Stop defending any of them",negative
@KabiruGbadebo @YeleSowore @MBuhari @EndSars @mbujari Even if at all sowore work for APC in 2015 as you've said oh as that one now denied him of criticizing what's bad and wrong?,negative
"@KabiruGbadebo @YeleSowore @MBuhari @EndSars @mbujari That your take is the hardship you're zipping right now bcus you've no brain and wisdom to know what's right from what's bad...kindly bring out where sowore campaigned or advertise Buhari to Nigerians 
Oloriburuku lopoju ninu yin",positive
"@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Daddy Pig . . . 2019 result has not benefitted Nigerians. They have a right to complain,",positive
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Can you see how useless this ma is? Sowore was talking about lives you're talking about election reports..it shall not be well with your soul as from this morning,negative
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Why can't they flush the real terrorist bolo haram? Yeye people,positive
@YeleSowore @MBuhari @EndSars @mbujari Strong terrorist,positive
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari All the above and the grant thief sowore. What do you call someone who collect money from opposition and foreigners to course crisis in your country while your wife and children are in America? So sowore is a big Terrorist.,neutral
@YeleSowore @UzonnaErnest @MBuhari @EndSars @mbujari new style of wearing a face mask,positive
@Abubakar_myusuf @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari One thing is common about you notherners...you support yourself even if do a wrong thing 👌,negative
"@YeleSowore @MBuhari @EndSars @mbujari He will not end well, many people in obigbo I witnessed it, chai is well",positive
@YeleSowore @MBuhari @EndSars @mbujari Sowore..... you will never success in your life Nigeria will success  useless sowore,negative
@TonyMatt14 @YeleSowore @EndSars I love the way you talk in irony,positive
@Nejovi2 @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari For saying the truth ..???😂😂😂,neutral
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari What about Boko Haram.,neutral
@YeleSowore @MBuhari @EndSars @mbujari 😔 😔 😔,neutral
@YeleSowore @MBuhari @EndSars @mbujari @save_video,neutral
@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari You seems to be man without brain.,neutral
"@YeleSowore @MBuhari @EndSars @mbujari You rooted for Buhari in 2015 despite our warnings,the man chequered is never in doubt. Buhari  truncated our democracy in 1983,he believes so much in tribe and religion till date",positive
@YeleSowore @MBuhari @EndSars @mbujari Haaaaa! Baba Buhari!  They said you should go and resign!  Continuity koo konkobility ni🤣,neutral
"@YeleSowore @MBuhari @EndSars @mbujari Most of you that still thinks Sowore brought this papa to power, try what he his trying for just one day.",neutral
@YeleSowore @MBuhari @EndSars @mbujari Continuity kill you there,neutral
"@YeleSowore @MBuhari @EndSars @mbujari #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2…The innocent boys that were detained and brutally injured should be release, as soon as possible.
#FreeKogi2",negative
@YeleSowore @MBuhari @EndSars @mbujari Grant Commander of Nigeria has spoken,neutral
@YeleSowore @MBuhari @EndSars @mbujari He has been a Failure in every aspect of is Goverment &amp; without Remorse,negative
@YeleSowore @MBuhari @EndSars @mbujari They are coming for you idiot,negative
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari If nah your papa bon you show your real face on your profile omoale apofungbemu ayirada  suffering and smiling onijere with that your stupid comment (oni fake account),negative
"@YeleSowore @MBuhari @EndSars @mbujari The manufactures of the N95 mask worn by this imposter of a presidency never designed it to be worn BELOW THE EARS. This thing is fake. Who in the world wears N95s like this if not by the ""PRESIDENCY""",negative
@vinxxehi @Janet_Aderinpe @YeleSowore @MBuhari @EndSars @mbujari Naija is finished,neutral
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari U no well,neutral
"@TonyMatt14 @YeleSowore @EndSars Buhari is a great calamity.
None of his generation shall know peace",positive
@YeleSowore @MBuhari @EndSars @mbujari Buhari is the worst thing to happen to Nigeria,negative
@YeleSowore @MBuhari @EndSars @mbujari Blood thirsty old man.,positive
@YeleSowore @MBuhari @EndSars @mbujari But falana need to tell this boy that he will not end we'll if he continues like this.,neutral
@YeleSowore @MBuhari @EndSars @mbujari This man has lost his memory and his is not him self again,neutral
@YeleSowore @MBuhari @EndSars @mbujari I  only heard continity😂😂😂😂🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️,neutral
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You're a collateral mumu.,neutral
@YeleSowore @MBuhari @EndSars @mbujari 😂😂😂😂😂😂😂😂😂😂😂,neutral
"@Thedarkhorse123 @YeleSowore @MBuhari @EndSars @mbujari @DrIsaPantami @HMKemiAdeosun Asking as if u don't know, those DSS guys don't do no screening, they are just there to take orders.",neutral
@YeleSowore @MBuhari @EndSars @mbujari Delusional,neutral
@YeleSowore @MBuhari @EndSars @mbujari Omoyele walahee pooor,neutral
@YeleSowore @MBuhari @EndSars @mbujari God will pay everyone according to his/her deed,neutral
Buhari is a terrorist: @mbuhari ordered the massacre of  1k Shiites in one night; he ordered the massacre of  #IPOB members at a peaceful gathering in a secondary schl; he  ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate @mbujari ordered killings at Obigbo,positive
@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Why is it then that your government have not flushed them out the same way he killed endsars youths? You must either be born stupid or have inverted brain.,negative
@YeleSowore @MBuhari @EndSars @mbujari Would you try this under Babangida or Abacha or Obj regimes and go scot free? @mbuhari is a true Democrat.,positive
@YeleSowore @MBuhari @EndSars @mbujari https://t.co/DPNtI2sSXU,neutral
